M,dM
745.8225952813067,199.84406779661018
745.8225952813067,198.84745762711867
745.8225952813067,197.85084745762714
744.823502722323,196.8542372881356
744.823502722323,195.85762711864407
744.823502722323,194.86101694915254
744.823502722323,193.86440677966104
744.823502722323,192.8677966101695
743.8244101633394,191.87118644067797
743.8244101633394,190.87457627118644
743.8244101633394,189.87796610169494
743.8244101633394,188.8813559322034
743.8244101633394,187.88474576271187
743.8244101633394,186.88813559322034
742.8253176043557,185.89152542372884
742.8253176043557,184.8949152542373
742.8253176043557,183.89830508474577
742.8253176043557,182.90169491525424
744.823502722323,181.90508474576274
745.8225952813067,180.9084745762712
746.8216878402905,179.91186440677967
747.8207803992741,178.91525423728814
749.8189655172414,177.91864406779663
750.818058076225,176.9220338983051
752.8162431941925,175.92542372881357
756.812613430127,174.92881355932204
759.8098911070781,173.93220338983053
762.807168784029,172.935593220339
765.8044464609801,171.93898305084747
767.8026315789474,170.94237288135594
769.8008166969147,169.94576271186443
770.7999092558983,168.9491525423729
771.7990018148821,167.95254237288137
772.7980943738658,166.95593220338984
772.7980943738658,165.9593220338983
773.7971869328494,164.9627118644068
773.7971869328494,163.96610169491527
774.796279491833,162.96949152542373
774.796279491833,161.9728813559322
775.7953720508167,160.9762711864407
775.7953720508167,159.97966101694917
776.7944646098003,158.98305084745763
776.7944646098003,157.9864406779661
777.7935571687841,156.9898305084746
777.7935571687841,155.99322033898306
778.7926497277678,154.99661016949153
778.7926497277678,154.0
779.7917422867514,153.0033898305085
781.7899274047187,152.00677966101696
782.7890199637023,151.01016949152543
784.7872050816698,150.0135593220339
784.7872050816698,149.0169491525424
783.7881125226861,148.02033898305086
783.7881125226861,147.02372881355933
782.7890199637023,146.0271186440678
782.7890199637023,145.0305084745763
781.7899274047187,144.03389830508476
781.7899274047187,143.03728813559323
781.7899274047187,142.0406779661017
780.790834845735,141.0440677966102
780.790834845735,140.04745762711866
779.7917422867514,139.05084745762713
779.7917422867514,138.0542372881356
778.7926497277678,137.0576271186441
778.7926497277678,136.06101694915256
778.7926497277678,135.06440677966103
777.7935571687841,134.0677966101695
777.7935571687841,133.071186440678
776.7944646098003,132.07457627118646
776.7944646098003,131.07796610169493
776.7944646098003,130.0813559322034
775.7953720508167,129.08474576271186
772.7980943738658,128.08813559322033
772.7980943738658,127.09152542372883
772.7980943738658,126.09491525423729
772.7980943738658,125.09830508474577
773.7971869328494,124.10169491525424
773.7971869328494,123.10508474576272
773.7971869328494,122.10847457627119
774.796279491833,121.11186440677967
774.796279491833,120.11525423728814
774.796279491833,119.11864406779662
775.7953720508167,118.12203389830509
775.7953720508167,117.12542372881357
775.7953720508167,116.12881355932204
775.7953720508167,115.13220338983052
776.7944646098003,114.13559322033899
776.7944646098003,113.13898305084747
776.7944646098003,112.14237288135594
776.7944646098003,111.14576271186442
776.7944646098003,110.14915254237289
776.7944646098003,109.15254237288137
777.7935571687841,108.15593220338984
777.7935571687841,107.15932203389832
777.7935571687841,106.16271186440679
777.7935571687841,105.16610169491527
777.7935571687841,104.16949152542374
778.7926497277678,103.17288135593222
778.7926497277678,102.17627118644069
779.7917422867514,101.17966101694915
780.790834845735,100.18305084745764
779.7917422867514,99.1864406779661
778.7926497277678,98.18983050847459
775.7953720508167,97.19322033898305
774.796279491833,96.19661016949154
773.7971869328494,95.2
772.7980943738658,94.20338983050848
771.7990018148821,93.20677966101695
770.7999092558983,92.21016949152543
769.8008166969147,91.2135593220339
768.801724137931,90.21694915254238
767.8026315789474,89.22033898305085
766.8035390199638,88.22372881355933
