M,dM
775.7953720508167,199.84406779661018
776.7944646098003,198.84745762711867
776.7944646098003,197.85084745762714
777.7935571687841,196.8542372881356
777.7935571687841,195.85762711864407
778.7926497277678,194.86101694915254
778.7926497277678,193.86440677966104
779.7917422867514,192.8677966101695
779.7917422867514,191.87118644067797
780.790834845735,190.87457627118644
780.790834845735,189.87796610169494
781.7899274047187,188.8813559322034
781.7899274047187,187.88474576271187
782.7890199637023,186.88813559322034
782.7890199637023,185.89152542372884
783.7881125226861,184.8949152542373
783.7881125226861,183.89830508474577
782.7890199637023,182.90169491525424
781.7899274047187,181.90508474576274
780.790834845735,180.9084745762712
779.7917422867514,179.91186440677967
778.7926497277678,178.91525423728814
777.7935571687841,177.91864406779663
776.7944646098003,176.9220338983051
775.7953720508167,175.92542372881357
777.7935571687841,174.92881355932204
778.7926497277678,173.93220338983053
780.790834845735,172.935593220339
781.7899274047187,171.93898305084747
783.7881125226861,170.94237288135594
784.7872050816698,169.94576271186443
786.785390199637,168.9491525423729
788.7835753176043,167.95254237288137
789.7826678765881,166.95593220338984
791.7808529945554,165.9593220338983
791.7808529945554,164.9627118644068
791.7808529945554,163.96610169491527
792.779945553539,162.96949152542373
792.779945553539,161.9728813559322
792.779945553539,160.9762711864407
792.779945553539,159.97966101694917
793.7790381125227,158.98305084745763
793.7790381125227,157.9864406779661
793.7790381125227,156.9898305084746
794.7781306715063,155.99322033898306
794.7781306715063,154.99661016949153
794.7781306715063,154.0
795.77722323049,153.0033898305085
795.77722323049,152.00677966101696
795.77722323049,151.01016949152543
796.7763157894738,150.0135593220339
795.77722323049,149.0169491525424
795.77722323049,148.02033898305086
795.77722323049,147.02372881355933
795.77722323049,146.0271186440678
794.7781306715063,145.0305084745763
794.7781306715063,144.03389830508476
793.7790381125227,143.03728813559323
793.7790381125227,142.0406779661017
792.779945553539,141.0440677966102
792.779945553539,140.04745762711866
792.779945553539,139.05084745762713
791.7808529945554,138.0542372881356
791.7808529945554,137.0576271186441
790.7817604355718,136.06101694915256
790.7817604355718,135.06440677966103
789.7826678765881,134.0677966101695
789.7826678765881,133.071186440678
788.7835753176043,132.07457627118646
788.7835753176043,131.07796610169493
787.7844827586207,130.0813559322034
787.7844827586207,129.08474576271186
786.785390199637,128.08813559322033
786.785390199637,127.09152542372883
786.785390199637,126.09491525423729
785.7862976406534,125.09830508474577
784.7872050816698,124.10169491525424
784.7872050816698,123.10508474576272
783.7881125226861,122.10847457627119
783.7881125226861,121.11186440677967
782.7890199637023,120.11525423728814
782.7890199637023,119.11864406779662
781.7899274047187,118.12203389830509
781.7899274047187,117.12542372881357
780.790834845735,116.12881355932204
779.7917422867514,115.13220338983052
779.7917422867514,114.13559322033899
778.7926497277678,113.13898305084747
778.7926497277678,112.14237288135594
777.7935571687841,111.14576271186442
777.7935571687841,110.14915254237289
776.7944646098003,109.15254237288137
776.7944646098003,108.15593220338984
775.7953720508167,107.15932203389832
774.796279491833,106.16271186440679
774.796279491833,105.16610169491527
774.796279491833,104.16949152542374
773.7971869328494,103.17288135593222
773.7971869328494,102.17627118644069
772.7980943738658,101.17966101694915
772.7980943738658,100.18305084745764
772.7980943738658,99.1864406779661
772.7980943738658,98.18983050847459
771.7990018148821,97.19322033898305
771.7990018148821,96.19661016949154
770.7999092558983,95.2
770.7999092558983,94.20338983050848
770.7999092558983,93.20677966101695
769.8008166969147,92.21016949152543
769.8008166969147,91.2135593220339
768.801724137931,90.21694915254238
768.801724137931,89.22033898305085
767.8026315789474,88.22372881355933
767.8026315789474,87.2271186440678
768.801724137931,86.23050847457628
768.801724137931,85.23389830508475
768.801724137931,84.23728813559323
769.8008166969147,83.2406779661017
769.8008166969147,82.24406779661018
770.7999092558983,81.24745762711865
770.7999092558983,80.25084745762713
770.7999092558983,79.2542372881356
771.7990018148821,78.25762711864408
771.7990018148821,77.26101694915255
772.7980943738658,76.26440677966103
772.7980943738658,75.2677966101695
772.7980943738658,74.27118644067798
773.7971869328494,73.27457627118645
773.7971869328494,72.27796610169493
774.796279491833,71.2813559322034
774.796279491833,70.28474576271188
775.7953720508167,69.28813559322035
776.7944646098003,68.29152542372881
777.7935571687841,67.2949152542373
779.7917422867514,66.29830508474578
780.790834845735,65.30169491525425
781.7899274047187,64.30508474576271
782.7890199637023,63.308474576271195
784.7872050816698,62.31186440677967
785.7862976406534,61.315254237288144
786.785390199637,60.31864406779662
786.785390199637,59.322033898305094
786.785390199637,58.32542372881357
785.7862976406534,57.32881355932204
785.7862976406534,56.33220338983052
784.7872050816698,55.33559322033899
783.7881125226861,54.33898305084746
781.7899274047187,53.342372881355935
780.790834845735,52.34576271186441
778.7926497277678,51.349152542372885
777.7935571687841,50.35254237288136
776.7944646098003,49.355932203389834
775.7953720508167,48.35932203389831
774.796279491833,47.36271186440678
774.796279491833,46.36610169491526
774.796279491833,45.36949152542373
773.7971869328494,44.37288135593221
773.7971869328494,43.37627118644068
772.7980943738658,42.37966101694916
772.7980943738658,41.38305084745763
771.7990018148821,40.38644067796611
771.7990018148821,39.38983050847458
771.7990018148821,38.393220338983056
770.7999092558983,37.39661016949153
770.7999092558983,36.400000000000006
770.7999092558983,35.40338983050848
770.7999092558983,34.406779661016955
769.8008166969147,33.41016949152543
769.8008166969147,32.413559322033905
769.8008166969147,31.416949152542376
768.801724137931,30.420338983050847
767.8026315789474,29.423728813559322
766.8035390199638,28.427118644067797
765.8044464609801,27.43050847457627
764.8053539019965,26.433898305084746
762.807168784029,25.43728813559322
762.807168784029,24.440677966101696
761.8080762250454,23.44406779661017
761.8080762250454,22.447457627118645
760.8089836660617,21.45084745762712
760.8089836660617,20.454237288135594
757.8117059891107,19.45762711864407
752.8162431941925,18.46101694915254
739.8280399274048,17.464406779661015
729.8371143375681,16.467796610169493
722.8434664246824,15.471186440677966
717.8480036297641,14.474576271186441
709.8552631578948,13.477966101694916
698.8652450090744,12.481355932203389
693.8697822141561,11.484745762711864
688.8743194192377,10.488135593220338
681.8806715063521,9.491525423728813
647.9115245009075,8.494915254237288
611.9441923774955,7.498305084745763
