#: table_doi: 10.17182/hepdata.114415.v1/t22
#: name: Figure 10a
#: description: The observed 95% CL exclusion contours (black curves) assuming the NLO+NLL cross sections, with the variations (thin lines) corresponding to the uncertainty in the cross section for the T2bff$\tilde{\chi}^0_1$ simplified model. The red curves present the 95% CL expected limits with the band (thin lines) covering 68% of the limits in the absence of signal. The range of luminosities of the analysis regions included in the fit is indicated on the plot.
#: data_file: figure_10a.yaml
#: keyword observables: SIG
#: keyword reactions: P P --> STOP STOP, STOP --> BQ LEPTON+/LEPTON- NU/NUBAR NEUTRALINO1
#: keyword cmenergies: 13000
#: keyword phrases: Supersymmetry | SUSY
#: Limit,Expected
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],129-137
$m_{\tilde{\text{t}}}$ [GeV],"$\Delta m (\tilde{\text{t}}, \tilde{\chi}^0_1)$ [GeV]",95% CL upper limit on the cross section [pb],$\pm 1 \sigma_\text{experiment}$ +,$\pm 1 \sigma_\text{experiment}$ -,$\pm 2 \sigma_\text{experiment}$ +,$\pm 2 \sigma_\text{experiment}$ -
575.0,60.0,0.4911,0.24078,-0.15107,0.56798,-0.24171
450.0,20.0,0.36118,0.1814,-0.11375,0.43104,-0.182
450.0,50.0,0.61308,0.28103,-0.18328,0.64864,-0.29696
375.0,50.0,0.87989,0.39632,-0.26423,0.91017,-0.42276
650.0,70.0,0.64394,0.31315,-0.19809,0.74719,-0.31694
475.0,70.0,0.98843,0.45703,-0.29549,1.0543,-0.47877
600.0,60.0,0.44059,0.20196,-0.13171,0.47159,-0.21341
300.0,18.0,0.85245,0.41794,-0.26972,0.99106,-0.42622
600.0,20.0,0.22916,0.11783,-0.073641,0.28319,-0.11637
375.0,20.0,0.4578,0.22445,-0.14194,0.53224,-0.22711
425.0,50.0,0.60205,0.27597,-0.18226,0.63696,-0.29162
400.0,80.0,1.8856,0.8493,-0.5546,1.9387,-0.89859
325.0,10.0,4.3787,2.618,-1.5527,6.5176,-2.3946
425.0,30.0,0.41759,0.19641,-0.12744,0.45772,-0.2039
575.0,10.0,3.7451,2.2691,-1.2901,5.8798,-1.9896
450.0,30.0,0.36581,0.17352,-0.11164,0.40408,-0.17862
425.0,60.0,0.97608,0.44743,-0.28945,1.0206,-0.46898
475.0,18.0,0.38938,0.19712,-0.12513,0.47022,-0.19773
350.0,30.0,0.57502,0.27275,-0.17548,0.63517,-0.28077
550.0,10.0,6.3482,4.0993,-2.2512,10.673,-3.4717
400.0,13.0,1.2152,0.65393,-0.40253,1.567,-0.63609
400.0,20.0,0.43913,0.2153,-0.13894,0.51053,-0.21956
600.0,10.0,2.8809,1.8603,-1.0362,4.7805,-1.598
300.0,13.0,1.5677,0.83109,-0.5154,1.9875,-0.81445
500.0,30.0,0.2643,0.12642,-0.081304,0.29581,-0.13009
650.0,10.0,2.9705,2.1076,-1.1422,5.5371,-1.7405
475.0,30.0,0.3145,0.15169,-0.096746,0.35465,-0.15479
325.0,30.0,0.64859,0.30507,-0.19635,0.70694,-0.31416
325.0,18.0,0.69785,0.35049,-0.22253,0.83283,-0.35165
650.0,80.0,0.83963,0.41166,-0.26151,0.97616,-0.41326
550.0,40.0,0.29497,0.13756,-0.089298,0.3208,-0.14288
550.0,13.0,1.0133,0.54528,-0.33472,1.3245,-0.52249
625.0,30.0,0.20349,0.10301,-0.063591,0.2433,-0.10175
375.0,40.0,0.64015,0.29344,-0.1938,0.67728,-0.31007
425.0,20.0,0.39966,0.19913,-0.12587,0.47367,-0.20139
375.0,60.0,1.2497,0.55293,-0.37223,1.263,-0.59556
600.0,13.0,0.97394,0.55126,-0.33146,1.3705,-0.5174
575.0,30.0,0.2588,0.12585,-0.080606,0.29872,-0.12738
450.0,18.0,0.45564,0.22884,-0.1435,0.54377,-0.2296
375.0,18.0,0.56364,0.28533,-0.17751,0.67389,-0.28402
400.0,70.0,1.5127,0.68138,-0.44859,1.5554,-0.72683
575.0,13.0,0.69602,0.39673,-0.23514,0.98059,-0.36704
325.0,20.0,0.61028,0.30164,-0.18922,0.71089,-0.30276
625.0,18.0,0.26848,0.14126,-0.087604,0.33983,-0.13844
550.0,50.0,0.33199,0.1535,-0.1005,0.35616,-0.16081
550.0,15.0,0.46964,0.26957,-0.16101,0.66246,-0.25133
500.0,18.0,0.43139,0.21494,-0.13481,0.50868,-0.2157
525.0,15.0,0.54429,0.29289,-0.18029,0.71144,-0.2849
350.0,70.0,2.0338,0.89987,-0.59821,2.0554,-0.96924
575.0,20.0,0.27028,0.13682,-0.086187,0.32639,-0.1362
450.0,60.0,0.82238,0.37698,-0.24585,0.87008,-0.39834
500.0,50.0,0.5124,0.23284,-0.15387,0.5345,-0.24619
450.0,13.0,0.9224,0.48901,-0.30325,1.1803,-0.47922
350.0,60.0,1.4496,0.65292,-0.42636,1.4724,-0.69081
375.0,15.0,0.69626,0.38022,-0.23063,0.91279,-0.36445
650.0,30.0,0.19318,0.099334,-0.061602,0.24104,-0.097346
475.0,40.0,0.36488,0.17017,-0.11046,0.39682,-0.17674
650.0,15.0,0.63558,0.36735,-0.21631,0.89761,-0.33765
650.0,20.0,0.25172,0.13445,-0.080891,0.3315,-0.12783
625.0,13.0,1.01,0.59181,-0.35132,1.4758,-0.5484
400.0,15.0,0.70081,0.37712,-0.2304,0.89957,-0.36409
425.0,40.0,0.47523,0.22163,-0.14387,0.51099,-0.23019
625.0,70.0,0.57958,0.28185,-0.17829,0.66899,-0.28526
525.0,50.0,0.41317,0.1894,-0.12407,0.43714,-0.19852
400.0,60.0,1.0216,0.46017,-0.30296,1.0504,-0.49087
325.0,60.0,1.9102,0.85278,-0.56896,1.9354,-0.91033
450.0,70.0,1.2669,0.5757,-0.38045,1.3216,-0.60871
500.0,40.0,0.32,0.15179,-0.097656,0.35348,-0.15625
625.0,10.0,22.058,19.168,-8.7996,44.816,-13.097
350.0,10.0,6.2124,3.4916,-2.1143,8.5875,-3.3003
425.0,10.0,6.251,3.6129,-2.1431,8.971,-3.3453
625.0,80.0,1.1421,0.61004,-0.37727,1.4772,-0.5889
425.0,13.0,1.2246,0.62968,-0.39109,1.5133,-0.62186
325.0,50.0,1.2315,0.54979,-0.36681,1.2631,-0.58689
525.0,60.0,0.59613,0.27801,-0.18047,0.64832,-0.28875
575.0,18.0,0.29766,0.15306,-0.095654,0.36785,-0.15116
475.0,80.0,1.3996,0.63041,-0.41504,1.4565,-0.67246
525.0,18.0,0.34761,0.17874,-0.11171,0.42543,-0.17652
375.0,80.0,2.6422,1.1691,-0.77715,2.6703,-1.2592
650.0,40.0,0.2442,0.11681,-0.074523,0.27629,-0.11924
325.0,70.0,2.5615,1.1333,-0.75342,2.5568,-1.2207
350.0,15.0,0.80983,0.42287,-0.26224,1.009,-0.41441
450.0,80.0,1.6225,0.73083,-0.48724,1.6884,-0.77958
600.0,50.0,0.33419,0.15852,-0.10199,0.36916,-0.16318
625.0,15.0,0.54975,0.3287,-0.19122,0.81829,-0.2985
350.0,13.0,1.3201,0.69986,-0.43402,1.6892,-0.68585
525.0,70.0,0.73182,0.3413,-0.22155,0.79589,-0.35447
300.0,50.0,1.4845,0.66865,-0.44021,1.5264,-0.71326
300.0,15.0,1.0645,0.53889,-0.33786,1.2855,-0.54058
