# Obtained from here:
# https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVstopsbottom?raw=on


*Stop-antistop (sbottom-antisbottom) production cross sections* in proton-proton collisions, <latex> pp \to \tilde t \tilde t^*/\tilde b \tilde b^* </latex>, at 13 !TeV, computed at NNLO<sub>approx</sub>+NNLL in the limit of large squark (other than the stop/sbottom) and gluino masses (decoupled regime). No top quarks are considered in the initial state. The PDF set is !PDF4LHC21_40_pdfas (LHAPDF ID 93300).

Uncertainties (corresponding to PDF+<latex>\alpha_s</latex> and scale uncertainties as well as the uncertainty related to the choice of the stop/sbottom mixing angle added in quadrature) on theory predictions are symmetrized.

Contact: Christoph Borschensky, Anna Kulesza, 2024

Please cite SciPost Phys. Core 7, 072 (2024), https://scipost.org/SciPostPhysCore.7.4.072 (Latest paper accompanying the release of the NNLL-fast 2.0 code)
and other NNLL-fast related papers, whenever NNLL-fast 2.0 or the new cross sections are used, see https://www.uni-muenster.de/Physik.TP/~akule_01/nnllfast  for details.

---+ NNLO<sub>approx</sub> + NNLL
| *Stop / sbottom mass (!GeV)* | *Cross section (pb)* | *&plusmn; Uncertainty* |
| 690 | 9.122E-02 | 6.50 % |
| 695 | 8.713E-02 | 6.53 % |
| 700 | 8.324E-02 | 6.56 % |
| 705 | 7.953E-02 | 6.59 % |
| 710 | 7.601E-02 | 6.63 % |
| 715 | 7.265E-02 | 6.66 % |
| 720 | 6.947E-02 | 6.69 % |
| 725 | 6.643E-02 | 6.73 % |
| 730 | 6.354E-02 | 6.76 % |
| 735 | 6.079E-02 | 6.79 % |
| 740 | 5.817E-02 | 6.83 % |
| 745 | 5.568E-02 | 6.86 % |
| 750 | 5.330E-02 | 6.90 % |
| 755 | 5.104E-02 | 6.93 % |
| 760 | 4.888E-02 | 6.97 % |
| 765 | 4.682E-02 | 7.01 % |
| 770 | 4.485E-02 | 7.04 % |
| 775 | 4.298E-02 | 7.08 % |
| 780 | 4.119E-02 | 7.12 % |
| 785 | 3.949E-02 | 7.15 % |
| 790 | 3.786E-02 | 7.19 % |
| 795 | 3.631E-02 | 7.23 % |
| 800 | 3.482E-02 | 7.26 % |
| 805 | 3.340E-02 | 7.30 % |
| 810 | 3.204E-02 | 7.34 % |
| 815 | 3.075E-02 | 7.38 % |
| 820 | 2.951E-02 | 7.41 % |
| 825 | 2.833E-02 | 7.45 % |
| 830 | 2.719E-02 | 7.49 % |
| 835 | 2.611E-02 | 7.53 % |
| 840 | 2.508E-02 | 7.57 % |
| 845 | 2.409E-02 | 7.61 % |
| 850 | 2.314E-02 | 7.64 % |
| 855 | 2.223E-02 | 7.68 % |
| 860 | 2.136E-02 | 7.73 % |
| 865 | 2.053E-02 | 7.77 % |
| 870 | 1.973E-02 | 7.81 % |
| 875 | 1.897E-02 | 7.85 % |
| 880 | 1.824E-02 | 7.89 % |
| 885 | 1.754E-02 | 7.93 % |
| 890 | 1.687E-02 | 7.98 % |
| 895 | 1.623E-02 | 8.02 % |
| 900 | 1.561E-02 | 8.06 % |
| 905 | 1.502E-02 | 8.11 % |
| 910 | 1.446E-02 | 8.16 % |
| 915 | 1.391E-02 | 8.21 % |
| 920 | 1.339E-02 | 8.25 % |
| 925 | 1.289E-02 | 8.30 % |
| 930 | 1.241E-02 | 8.35 % |
| 935 | 1.195E-02 | 8.40 % |
| 940 | 1.151E-02 | 8.45 % |
| 945 | 1.109E-02 | 8.50 % |
| 950 | 1.068E-02 | 8.55 % |
| 955 | 1.029E-02 | 8.61 % |
| 960 | 9.914E-03 | 8.66 % |
| 965 | 9.553E-03 | 8.71 % |
| 970 | 9.207E-03 | 8.76 % |
| 975 | 8.874E-03 | 8.81 % |
| 980 | 8.555E-03 | 8.87 % |
| 985 | 8.247E-03 | 8.92 % |
| 990 | 7.952E-03 | 8.97 % |
| 995 | 7.668E-03 | 9.02 % |
| 1000 | 7.395E-03 | 9.08 % |
| 1005 | 7.132E-03 | 9.13 % |
| 1010 | 6.879E-03 | 9.18 % |
| 1015 | 6.636E-03 | 9.23 % |
| 1020 | 6.402E-03 | 9.28 % |
| 1025 | 6.177E-03 | 9.33 % |
| 1030 | 5.960E-03 | 9.38 % |
| 1035 | 5.752E-03 | 9.43 % |
| 1040 | 5.552E-03 | 9.48 % |
| 1045 | 5.359E-03 | 9.53 % |
| 1050 | 5.173E-03 | 9.59 % |
| 1055 | 4.994E-03 | 9.64 % |
| 1060 | 4.822E-03 | 9.69 % |
| 1065 | 4.656E-03 | 9.74 % |
| 1070 | 4.497E-03 | 9.80 % |
| 1075 | 4.343E-03 | 9.85 % |
| 1080 | 4.195E-03 | 9.90 % |
| 1085 | 4.053E-03 | 9.96 % |
| 1090 | 3.915E-03 | 10.01 % |
| 1095 | 3.783E-03 | 10.07 % |
| 1100 | 3.655E-03 | 10.12 % |
| 1105 | 3.532E-03 | 10.18 % |
| 1110 | 3.414E-03 | 10.24 % |
| 1115 | 3.300E-03 | 10.29 % |
| 1120 | 3.190E-03 | 10.35 % |
| 1125 | 3.084E-03 | 10.41 % |
| 1130 | 2.982E-03 | 10.47 % |
| 1135 | 2.883E-03 | 10.53 % |
| 1140 | 2.788E-03 | 10.59 % |
| 1145 | 2.696E-03 | 10.65 % |
| 1150 | 2.608E-03 | 10.71 % |
| 1155 | 2.523E-03 | 10.77 % |
| 1160 | 2.440E-03 | 10.84 % |
| 1165 | 2.361E-03 | 10.90 % |
| 1170 | 2.284E-03 | 10.96 % |
| 1175 | 2.210E-03 | 11.03 % |
| 1180 | 2.138E-03 | 11.10 % |
| 1185 | 2.069E-03 | 11.16 % |
| 1190 | 2.003E-03 | 11.23 % |
| 1195 | 1.938E-03 | 11.30 % |
| 1200 | 1.876E-03 | 11.37 % |
| 1205 | 1.816E-03 | 11.44 % |
| 1210 | 1.758E-03 | 11.52 % |
| 1215 | 1.702E-03 | 11.59 % |
| 1220 | 1.648E-03 | 11.67 % |
| 1225 | 1.595E-03 | 11.75 % |
| 1230 | 1.545E-03 | 11.83 % |
| 1235 | 1.496E-03 | 11.90 % |
| 1240 | 1.449E-03 | 11.98 % |
