#: table_doi: 10.17182/hepdata.114415.v1/t22
#: name: Figure 10a
#: description: The observed 95% CL exclusion contours (black curves) assuming the NLO+NLL cross sections, with the variations (thin lines) corresponding to the uncertainty in the cross section for the T2bff$\tilde{\chi}^0_1$ simplified model. The red curves present the 95% CL expected limits with the band (thin lines) covering 68% of the limits in the absence of signal. The range of luminosities of the analysis regions included in the fit is indicated on the plot.
#: data_file: figure_10a.yaml
#: keyword observables: SIG
#: keyword reactions: P P --> STOP STOP, STOP --> BQ LEPTON+/LEPTON- NU/NUBAR NEUTRALINO1
#: keyword cmenergies: 13000
#: keyword phrases: Supersymmetry | SUSY
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],129-137
$m_{\tilde{\text{t}}}$ [GeV],"$\Delta m (\tilde{\text{t}}, \tilde{\chi}^0_1)$ [GeV]",95% CL upper limit on the cross section [pb],$\pm 1 \sigma_\text{theory}$ +,$\pm 1 \sigma_\text{theory}$ -
575.0,30.0,0.33382,0.051094,-0.039119
450.0,18.0,0.73713,0.11461,-0.087424
375.0,18.0,0.95865,0.15409,-0.1166
400.0,70.0,1.5906,0.25248,-0.19164
575.0,13.0,1.365,0.20892,-0.15996
325.0,20.0,0.91876,0.14726,-0.11152
625.0,18.0,0.43302,0.063541,-0.049124
550.0,50.0,0.35278,0.05397,-0.041325
550.0,15.0,0.8334,0.1275,-0.097628
500.0,18.0,0.69919,0.108,-0.08251
525.0,15.0,1.0258,0.15797,-0.12077
350.0,70.0,2.1497,0.34091,-0.25882
575.0,20.0,0.46614,0.071347,-0.054625
450.0,60.0,0.63273,0.098378,-0.075042
500.0,50.0,0.44845,0.069269,-0.05292
450.0,13.0,1.6375,0.25459,-0.1942
350.0,60.0,1.9539,0.30986,-0.23525
375.0,15.0,1.1358,0.18257,-0.13815
650.0,30.0,0.19569,0.029042,-0.022395
475.0,40.0,0.39124,0.0605,-0.046209
650.0,15.0,1.2584,0.18676,-0.14401
650.0,20.0,0.46938,0.069661,-0.053717
625.0,13.0,1.8381,0.26972,-0.20853
400.0,15.0,1.227,0.19477,-0.14784
425.0,40.0,0.48839,0.07623,-0.058095
625.0,70.0,0.5499,0.080692,-0.062384
525.0,50.0,0.40503,0.062372,-0.047686
400.0,60.0,0.95324,0.15131,-0.11485
325.0,60.0,1.996,0.31993,-0.24226
450.0,70.0,1.2506,0.19445,-0.14832
500.0,40.0,0.29537,0.045625,-0.034857
625.0,10.0,15.636,2.2944,-1.7738
350.0,10.0,9.6856,1.536,-1.1661
425.0,10.0,14.195,2.2157,-1.6885
625.0,80.0,0.95088,0.13953,-0.10787
425.0,13.0,2.073,0.32357,-0.24659
325.0,50.0,1.1984,0.19209,-0.14546
525.0,60.0,0.43637,0.067197,-0.051375
575.0,18.0,0.52666,0.080609,-0.061716
475.0,80.0,1.2779,0.19761,-0.15093
525.0,18.0,0.59367,0.091421,-0.069894
375.0,80.0,3.2323,0.51954,-0.39315
650.0,40.0,0.27025,0.040109,-0.030928
325.0,70.0,3.4208,0.54831,-0.41521
350.0,15.0,1.3712,0.21745,-0.16509
450.0,80.0,1.163,0.18082,-0.13793
600.0,50.0,0.34139,0.051951,-0.039829
625.0,15.0,0.72173,0.10591,-0.081877
350.0,13.0,2.4776,0.39291,-0.2983
525.0,70.0,0.53318,0.082105,-0.062772
300.0,50.0,1.7081,0.27628,-0.20875
300.0,15.0,1.9126,0.30935,-0.23374

